SOURCE_SHEET;TERM NUMBER;TYPE OF ABBREVIATED FORM;IT EXAMPLE;IT TERM;STANDARDISED/RECOMMENDED FULL FORM;TARGET HYPOTHESIS (DE SOUTH TYROL);OTHER TERMS SOUTH TYROL (CSV);TERMS FROM OTHER LEGAL SYTEMS (CSV)
abbreviated forms;8;abbreviation;La presente delibera sarà pubblicata nel Bollettino Ufficiale della Regione Trentino Alto Adige ai sensi dell’art. 28 della Legge Provinciale 22 ottobre 1993, n. 17 e ss.mm.ii., trattandosi di un atto che interessa la generalità.;ss.mm.ii.;no;i.g.F.;in geltender Fassung;
abbreviated forms;8;abbreviation;In caso di revoca, decadenza, ovvero rinuncia, ai sensi dell’art. 7 della l.p. 16/85 e ss.mm.ii., i tempi e le modalità di cessazione dei servizi saranno stabilite con apposito provvedimento dell’assessore provinciale.;ss.mm.ii.;no;i.g.F.;in geltender Fassung;
abbreviated forms;8;abbreviation;La Delibera dispone la sospensione dell’irrogazione della sanzione amministrativa di cui al comma 2 dell’articolo 36/bis della legge provinciale n. 7/2001, così come recepita dalla Delibera della Giunta Provinciale del 03 luglio 2018, n. 657 e ss.mm.ii.;ss.mm.ii.;no;i.g.F.;in geltender Fassung;
abbreviated forms;8;abbreviation;L'articolo 2, comma 2 della legge provinciale n. 16/2015 e ss.mm.ii. individua gli enti obbligati ovvero legittimati all’utilizzo delle convenzioni quadro ACP.;ss.mm.ii.;no;i.g.F.;in geltender Fassung;
abbreviated forms;8;abbreviation;Nella procedura negoziata, la migliore offerta verrà selezionata ai sensi dell’art. 33 della L.P. n. 16/2015 e ss.mm.ii. con il criterio dell’offerta economicamente più vantaggiosa.;ss.mm.ii.;no;i.g.F.;in geltender Fassung;
abbreviated forms;8;abbreviation;A livello provinciale è stata introdotta una semplificazione con l’inserimento dell’art. 27 comma 4/bis della L.P. n. 16/2015 e s.m.i.;s.m.i.;no;i.g.F.;in geltender Fassung;
abbreviated forms;8;abbreviation;Sono ammissibili a finanziamento pubblico progetti formativi finalizzati a favorire la qualificazione o la riqualificazione professionale per il conseguimento del Diploma di Qualifica di Operatore Socio-sanitario/Operatrice Socio-sanitaria ai sensi dell’art. 20 della DGP 1027/2018 e s.m.i.;s.m.i.;no;i.g.F.;in geltender Fassung;
abbreviated forms;8;abbreviation;Per le procedure negoziate di lavori, forniture e servizi di cui agli artt. 17 e 26 della L.P. n. 16/2015 e s.m.i. le stazioni appaltanti hanno la facoltà di non applicare le formule per il calcolo dell’anomalia delle offerte di cui alla presente linea guida.;s.m.i.;no;i.g.F.;in geltender Fassung;
abbreviated forms;8;abbreviation;Il valore del corrispettivo per dette prestazioni è calcolato sulla base del DM 17.06.2016 e s.m.i. e della DGP n. 1308/2014 e s.m.i.;s.m.i.;no;i.g.F.;in geltender Fassung;
abbreviated forms;8;abbreviation;A norma del decreto legislativo n. 33/2013 e s.m.i. come modificato dal decreto legislativo n. 97/2016 e s.m.i., la trasparenza va intesa come accessibilità totale dei dati e dei documenti detenuti dalle Pubbliche Amministrazioni.;s.m.i.;no;i.g.F.;in geltender Fassung;
abbreviated forms;9;abbreviation;All’art. 13 ter, punto 7 del decreto sono riportate le diposizioni per le unità immobiliari ad uso abitativo oggetto di locazione per finalità turistiche.;art.;no;Art.;Artikel;
abbreviated forms;9;abbreviation;L’art. 43, comma 4-bis proroga il termine per gli adeguamenti statutari.;art.;no;Art.;Artikel;
abbreviated forms;9;abbreviation;L’art. 4 del d.lgs. n. 117/2017 definisce l’ente del Terzo settore quale ente privato che, senza scopo di lucro, persegue finalità civiche, solidaristiche e di utilità sociale.;art.;no;Art.;Artikel;
abbreviated forms;9;abbreviation;L’autorizzazione alla cancellazione del vincolo di cui all’art. 7, l.p. n. 1/78 risp. di cui all’art. 79, l.p. n. 13/97 viene rilasciata, previo parere positivo del Comune, dal direttore di Ripartizione.;art.;no;Art.;Artikel;
abbreviated forms;9;abbreviation;Chiunque vende al dettaglio oggetti di metalli preziosi espone un cartello indicante, in cifre, in maniera chiara e ben visibile, i relativi titoli (art. 4.6, DPR 150/02).;art.;no;Art.;Artikel;
abbreviated forms;9;abbreviation;In tale prospettiva, gli artt. 55, 56 e 57 del Codice del Terzo settore individuano una misura di sostegno ed integrazione fra ente del Terzo settore e pubbliche amministrazioni.;artt.;no;Art.;Artikel;
abbreviated forms;9;abbreviation;Le modalità per l'esercizio di tutti i diritti da parte degli interessati sono stabilite, in via generale, negli artt. 11 e 12 del regolamento.;artt.;no;Art.;Artikel;
abbreviated forms;9;abbreviation;È indetta dal Consorzio gara con procedura aperta per l’affidamento ai sensi degli artt. 180 e 183, comma 15, d.lgs. n. 50/2016 della concessione per la progettazione e realizzazione del lotto 2.;artt.;no;Art.;Artikel;
abbreviated forms;9;abbreviation;Una tutela contro le clausole vessatorie si rinviene altresì all’interno del Codice Civile, che agli artt. 1341 e 1342 disciplina l’efficacia delle condizioni generali di contratto.;artt.;no;Art.;Artikel;
abbreviated forms;9;abbreviation;Il codice va utilizzato per le operazioni non soggette ad IVA per carenza del requisito della territorialità di cui agli artt. da 7 a 7-septies, DPR n. 633/72.;artt.;no;Art.;Artikel;
abbreviated forms;10;abbreviation;Il d.lgs. n. 36 del 2023 reca una puntuale disciplina concernente, tra l’altro, gli appalti pubblici.;D.lgs.;yes;GvD;gesetzesvertretendes Dekret, Legisilativdekret;
abbreviated forms;10;abbreviation;In allegato si trasmette la comunicazione della Presidente del Tribunale di Bolzano dd. 24.01.2024 avente ad oggetto il D.lgs. 10 ottobre 2022, n. 149.;D.lgs.;yes;GvD;gesetzesvertretendes Dekret, Legisilativdekret;
abbreviated forms;10;abbreviation;Ai sensi dell'art. 27 del D.lgs. n. 81/2008, a decorrere dal 1° ottobre 2024, sono tenuti al possesso della patente le imprese e i lavoratori autonomi che operano nei cantieri temporanei o mobili.;D.lgs.;yes;GvD;gesetzesvertretendes Dekret, Legisilativdekret;
abbreviated forms;10;abbreviation;Per la stipulazione del contratto telematico sono previsti dal D.lgs n. 70/2003 specifici obblighi informativi cui il prestatore deve adempiere.;D.lgs.;yes;GvD;gesetzesvertretendes Dekret, Legisilativdekret;
abbreviated forms;10;abbreviation;Inoltre il Garante si impegna nei confronti del Contraente a rilasciare la garanzia fideiussoria per la cauzione definitiva prevista dall'art. 75 del D.Lgs. 163/06.;D.lgs.;yes;GvD;gesetzesvertretendes Dekret, Legisilativdekret;
abbreviated forms;11;acronym;L'assicurazione INAIL è obbligatoria per tutti i datori di lavoro che occupano lavoratori dipendenti e parasubordinati nelle attività che la legge individua come rischiose.;INAIL;yes;INAIL;gesamtstaatliche Anstalt für Versicherungen gegen Arbeitsunfälle, gesamtstaatliches Versicherungsinstitut für Arbeitsunfälle, Nationales Institut für Versicherung gegen Arbeitsunfälle;
abbreviated forms;11;acronym;Con il versamento da parte del datore del premio, l'INAIL si impegna a pagare al lavoratore delle somme di denaro sia in caso di inabilità temporanea sia in caso di invalidità permanente.;INAIL;yes;INAIL;gesamtstaatliche Anstalt für Versicherungen gegen Arbeitsunfälle, gesamtstaatliches Versicherungsinstitut für Arbeitsunfälle, Nationales Institut für Versicherung gegen Arbeitsunfälle;
abbreviated forms;11;acronym;L’INAIL svolge attività di prevenzione dei rischi lavorativi, di informazione, di formazione e assistenza in materia di sicurezza e salute sul lavoro. ;INAIL;yes;INAIL;gesamtstaatliche Anstalt für Versicherungen gegen Arbeitsunfälle, gesamtstaatliches Versicherungsinstitut für Arbeitsunfälle, Nationales Institut für Versicherung gegen Arbeitsunfälle;
abbreviated forms;11;acronym;È stata presentata il 14 ottobre alla Camera la Relazione annuale INAIL: nel 2023 gli infortuni denunciati sono stati oltre 590mila.;INAIL;yes;INAIL;gesamtstaatliche Anstalt für Versicherungen gegen Arbeitsunfälle, gesamtstaatliches Versicherungsinstitut für Arbeitsunfälle, Nationales Institut für Versicherung gegen Arbeitsunfälle;
abbreviated forms;11;acronym;In data 16 ottobre 2023, l’INAIL e il Consiglio Nazionale dell’Ordine degli Psicologi hanno sottoscritto un protocollo d’intesa con l’obiettivo generale di assicurare l’erogazione di interventi di supporto psicologico-psicoterapeutico in favore dei propri assistiti.;INAIL;yes;INAIL;gesamtstaatliche Anstalt für Versicherungen gegen Arbeitsunfälle, gesamtstaatliches Versicherungsinstitut für Arbeitsunfälle, Nationales Institut für Versicherung gegen Arbeitsunfälle;
abbreviated forms;11;acronym;L'assicurazione Inail è obbligatoria per tutti i datori di lavoro che occupano lavoratori dipendenti e parasubordinati nelle attività che la legge individua come rischiose.;Inail;yes;Inail;gesamtstaatliche Anstalt für Versicherungen gegen Arbeitsunfälle, gesamtstaatliches Versicherungsinstitut für Arbeitsunfälle, Nationales Institut für Versicherung gegen Arbeitsunfälle;
abbreviated forms;11;acronym;Con il versamento da parte del datore del premio, l'Inail si impegna a pagare al lavoratore delle somme di denaro sia in caso di inabilità temporanea sia in caso di invalidità permanente.;Inail;yes;Inail;gesamtstaatliche Anstalt für Versicherungen gegen Arbeitsunfälle, gesamtstaatliches Versicherungsinstitut für Arbeitsunfälle, Nationales Institut für Versicherung gegen Arbeitsunfälle;
abbreviated forms;11;acronym;L’Inail svolge attività di prevenzione dei rischi lavorativi, di informazione, di formazione e assistenza in materia di sicurezza e salute sul lavoro.;Inail;yes;Inail;gesamtstaatliche Anstalt für Versicherungen gegen Arbeitsunfälle, gesamtstaatliches Versicherungsinstitut für Arbeitsunfälle, Nationales Institut für Versicherung gegen Arbeitsunfälle;
abbreviated forms;11;acronym;È stata presentata il 14 ottobre alla Camera la Relazione annuale INAIL: nel 2023 gli infortuni denunciati sono stati oltre 590mila.;Inail;yes;Inail;gesamtstaatliche Anstalt für Versicherungen gegen Arbeitsunfälle, gesamtstaatliches Versicherungsinstitut für Arbeitsunfälle, Nationales Institut für Versicherung gegen Arbeitsunfälle;
abbreviated forms;11;acronym;In data 16 ottobre 2023, l’Inail e il Consiglio Nazionale dell’Ordine degli Psicologi hanno sottoscritto un protocollo d’intesa con l’obiettivo generale di assicurare l’erogazione di interventi di supporto psicologico-psicoterapeutico in favore dei propri assistiti.;Inail;yes;Inail;gesamtstaatliche Anstalt für Versicherungen gegen Arbeitsunfälle, gesamtstaatliches Versicherungsinstitut für Arbeitsunfälle, Nationales Institut für Versicherung gegen Arbeitsunfälle;
abbreviated forms;11;acronym;L'assicurazione I.N.A.I.L. è obbligatoria per tutti i datori di lavoro che occupano lavoratori dipendenti e parasubordinati nelle attività che la legge individua come rischiose.;I.N.A.I.L.;yes;INAIL;gesamtstaatliche Anstalt für Versicherungen gegen Arbeitsunfälle, gesamtstaatliches Versicherungsinstitut für Arbeitsunfälle, Nationales Institut für Versicherung gegen Arbeitsunfälle;
abbreviated forms;11;acronym;Con il versamento da parte del datore del premio, l'I.N.A.I.L. si impegna a pagare al lavoratore delle somme di denaro sia in caso di inabilità temporanea sia in caso di invalidità permanente.;I.N.A.I.L.;yes;INAIL;gesamtstaatliche Anstalt für Versicherungen gegen Arbeitsunfälle, gesamtstaatliches Versicherungsinstitut für Arbeitsunfälle, Nationales Institut für Versicherung gegen Arbeitsunfälle;
abbreviated forms;11;acronym;L'I.N.A.I.L. svolge attività di prevenzione dei rischi lavorativi, di informazione, di formazione e assistenza in materia di sicurezza e salute sul lavoro.;I.N.A.I.L.;yes;INAIL;gesamtstaatliche Anstalt für Versicherungen gegen Arbeitsunfälle, gesamtstaatliches Versicherungsinstitut für Arbeitsunfälle, Nationales Institut für Versicherung gegen Arbeitsunfälle;
abbreviated forms;11;acronym;È stata presentata il 14 ottobre alla Camera la Relazione annuale I.N.A.I.L.: nel 2023 gli infortuni denunciati sono stati oltre 590mila.;I.N.A.I.L.;yes;INAIL;gesamtstaatliche Anstalt für Versicherungen gegen Arbeitsunfälle, gesamtstaatliches Versicherungsinstitut für Arbeitsunfälle, Nationales Institut für Versicherung gegen Arbeitsunfälle;
abbreviated forms;11;acronym;In data 16 ottobre 2023, l’I.N.A.I.L. e il Consiglio Nazionale dell’Ordine degli Psicologi hanno sottoscritto un protocollo d’intesa con l’obiettivo generale di assicurare l’erogazione di interventi di supporto psicologico-psicoterapeutico in favore dei propri assistiti.;I.N.A.I.L.;yes;INAIL;gesamtstaatliche Anstalt für Versicherungen gegen Arbeitsunfälle, gesamtstaatliches Versicherungsinstitut für Arbeitsunfälle, Nationales Institut für Versicherung gegen Arbeitsunfälle;
abbreviated forms;12;initialism;L’art. 1 del DPR n. 361/2000 disciplina il procedimento per l’acquisto della personalità giuridica.;DPR;yes;DPR;Dekret des Präsidenten der Republik;
abbreviated forms;12;initialism;Il sottoscritto è consapevole delle sanzioni penali previste per il caso di dichiarazioni non veritiere, di formazione o uso di atti falsi, richiamate dagli artt. 75 e 76 del DPR 445 del 28 dicembre 2000.;DPR;yes;DPR;Dekret des Präsidenten der Republik;
abbreviated forms;12;initialism;L'art. 82 del DPR 115/2002 stabilisce che l'onorario e le spese spettanti al difensore sono liquidati dall'Autorità Giudiziaria con decreto di pagamento, osservando la tariffa professionale.;DPR;yes;DPR;Dekret des Präsidenten der Republik;
abbreviated forms;12;initialism;Il candidato dichiara di essere consapevole che le dichiarazioni mendaci verranno perseguite ai sensi dell’art. 76 del DPR 445/2000.;DPR;yes;DPR;Dekret des Präsidenten der Republik;
abbreviated forms;12;initialism;I simboli delle unità di misura vanno scritti esattamente come prevede il DPR 802/82 cioè con l'iniziale minuscola, tranne quelli derivanti da nomi propri.;DPR;yes;DPR;Dekret des Präsidenten der Republik;
abbreviated forms;12;initialism;L’art. 1 del D.P.R. n. 361/2000 disciplina il procedimento per l’acquisto della personalità giuridica.;D.P.R.;yes;DPR;Dekret des Präsidenten der Republik;
abbreviated forms;12;initialism;Il sottoscritto è consapevole delle sanzioni penali previste per il caso di dichiarazioni non veritiere, di formazione o uso di atti falsi, richiamate dagli artt. 75 e 76 del D.P.R. 445 del 28 dicembre 2000.;D.P.R.;yes;DPR;Dekret des Präsidenten der Republik;
abbreviated forms;12;initialism;L'art. 82 del D.P.R. 115/2002 stabilisce che l'onorario e le spese spettanti al difensore sono liquidati dall'Autorità Giudiziaria con decreto di pagamento, osservando la tariffa professionale.;D.P.R.;yes;DPR;Dekret des Präsidenten der Republik;
abbreviated forms;12;initialism;Il candidato dichiara di essere consapevole che le dichiarazioni mendaci verranno perseguite ai sensi dell’art. 76 del D.P.R. 445/2000.;D.P.R.;yes;DPR;Dekret des Präsidenten der Republik;
abbreviated forms;12;initialism;I simboli delle unità di misura vanno scritti esattamente come prevede il D.P.R. 802/82 cioè con l'iniziale minuscola, tranne quelli derivanti da nomi propri.;D.P.R.;yes;DPR;Dekret des Präsidenten der Republik;
abbreviated forms;12;initialism;L’art. 1 del d.p.r. n. 361/2000 disciplina il procedimento per l’acquisto della personalità giuridica.;d.p.r.;yes;D.P.R.;Dekret des Präsidenten der Republik;
abbreviated forms;12;initialism;Il sottoscritto è consapevole delle sanzioni penali previste per il caso di dichiarazioni non veritiere, di formazione o uso di atti falsi, richiamate dagli artt. 75 e 76 del d.p.r. 445 del 28 dicembre 2000.;d.p.r.;yes;D.P.R.;Dekret des Präsidenten der Republik;
abbreviated forms;12;initialism;L'art. 82 del d.p.r. 115/2002 stabilisce che l'onorario e le spese spettanti al difensore sono liquidati dall'Autorità Giudiziaria con decreto di pagamento, osservando la tariffa professionale.;d.p.r.;yes;D.P.R.;Dekret des Präsidenten der Republik;
abbreviated forms;12;initialism;Il candidato dichiara di essere consapevole che le dichiarazioni mendaci verranno perseguite ai sensi dell’art. 76 del d.p.r. 445/2000.;d.p.r.;yes;D.P.R.;Dekret des Präsidenten der Republik;
abbreviated forms;12;initialism;I simboli delle unità di misura vanno scritti esattamente come prevede il d.p.r. 802/82 cioè con l'iniziale minuscola, tranne quelli derivanti da nomi propri.;d.p.r.;yes;D.P.R.;Dekret des Präsidenten der Republik;
abbreviated forms;13;acronym;Il servizio permette di verificare l'importo dei trattamenti liquidati dall'INPS ogni mese.;INPS;yes;NISF;Gesamtstaatliche Anstalt für soziale Vorsorge, Nationalinstitut für soziale Fürsorge, INPS;
abbreviated forms;13;acronym;Per l'INPS Basilicata, il numero dei posti da ricoprire è pari a 11.;INPS;yes;NISF;Gesamtstaatliche Anstalt für soziale Vorsorge, Nationalinstitut für soziale Fürsorge, INPS;
abbreviated forms;13;acronym;L'INPS è articolato in strutture centrali, regionali e metropolitane con compiti di indirizzo, monitoraggio e coordinamento.;INPS;yes;NISF;Gesamtstaatliche Anstalt für soziale Vorsorge, Nationalinstitut für soziale Fürsorge, INPS;
abbreviated forms;13;acronym;Presso l'INPS è attivo uno speciale Fondo di Garanzia in favore dei lavoratori che non siano riusciti a farsi pagare dal datore di lavoro.;INPS;yes;NISF;Gesamtstaatliche Anstalt für soziale Vorsorge, Nationalinstitut für soziale Fürsorge, INPS;
abbreviated forms;13;acronym;È previsto l'aggiornamento della numerazione dei contratti e degli accordi collettivi di lavoro depositati e archiviati, da svolgersi in cooperazione con l'INPS.;INPS;yes;NISF;Gesamtstaatliche Anstalt für soziale Vorsorge, Nationalinstitut für soziale Fürsorge, INPS;
abbreviated forms;13;acronym;Il servizio permette di verificare l'importo dei trattamenti liquidati dall'Inps ogni mese.;Inps;yes;NISF;Gesamtstaatliche Anstalt für soziale Vorsorge, Nationalinstitut für soziale Fürsorge, INPS;
abbreviated forms;13;acronym;Per l'Inps Lazio, il numero dei posti da ricoprire è pari a 11.;Inps;yes;NISF;Gesamtstaatliche Anstalt für soziale Vorsorge, Nationalinstitut für soziale Fürsorge, INPS;
abbreviated forms;13;acronym;L'Inps è articolato in strutture centrali, regionali e metropolitane con compiti di indirizzo, monitoraggio e coordinamento.;Inps;yes;NISF;Gesamtstaatliche Anstalt für soziale Vorsorge, Nationalinstitut für soziale Fürsorge, INPS;
abbreviated forms;13;acronym;Presso l'Inps è attivo uno speciale Fondo di Garanzia in favore dei lavoratori che non siano riusciti a farsi pagare dal datore di lavoro.;Inps;yes;NISF;Gesamtstaatliche Anstalt für soziale Vorsorge, Nationalinstitut für soziale Fürsorge, INPS;
abbreviated forms;13;acronym;È previsto l'aggiornamento della numerazione dei contratti e degli accordi collettivi di lavoro depositati e archiviati, da svolgersi in cooperazione con l'Inps.;Inps;yes;NISF;Gesamtstaatliche Anstalt für soziale Vorsorge, Nationalinstitut für soziale Fürsorge, INPS;
abbreviated forms;13;acronym;Il servizio permette di verificare l'importo dei trattamenti liquidati dall'I.N.P.S. ogni mese.;I.N.P.S.;yes;N.I.S.F.;Gesamtstaatliche Anstalt für soziale Vorsorge, Nationalinstitut für soziale Fürsorge, INPS;
abbreviated forms;13;acronym;Per l'I.N.P.S. Lazio, il numero dei posti da ricoprire è pari a 11.;I.N.P.S.;yes;N.I.S.F.;Gesamtstaatliche Anstalt für soziale Vorsorge, Nationalinstitut für soziale Fürsorge, INPS;
abbreviated forms;13;acronym;L'I.N.P.S. è articolato in strutture centrali, regionali e metropolitane con compiti di indirizzo, monitoraggio e coordinamento.;I.N.P.S.;yes;N.I.S.F.;Gesamtstaatliche Anstalt für soziale Vorsorge, Nationalinstitut für soziale Fürsorge, INPS;
abbreviated forms;13;acronym;Presso l'I.N.P.S. è attivo uno speciale Fondo di Garanzia in favore dei lavoratori che non siano riusciti a farsi pagare dal datore di lavoro.;I.N.P.S.;yes;N.I.S.F.;Gesamtstaatliche Anstalt für soziale Vorsorge, Nationalinstitut für soziale Fürsorge, INPS;
abbreviated forms;13;acronym;È previsto l'aggiornamento della numerazione dei contratti e degli accordi collettivi di lavoro depositati e archiviati, da svolgersi in cooperazione con l'I.N.P.S.;I.N.P.S.;yes;N.I.S.F.;Gesamtstaatliche Anstalt für soziale Vorsorge, Nationalinstitut für soziale Fürsorge, INPS;
abbreviated forms;13;acronym + full form;Il servizio permette di verificare l'importo dei trattamenti liquidati dall' Istituto nazionale della previdenza sociale I.N.P.S. ogni mese.;I.N.P.S.;yes;N.I.S.F.;Gesamtstaatliche Anstalt für soziale Vorsorge, Nationalinstitut für soziale Fürsorge, INPS;
abbreviated forms;13;acronym + full form;Per l'Inps (Istituto nazionale della previdenza sociale) Lazio, il numero dei posti da ricoprire è pari a 11.;Inps;yes;NISF;Gesamtstaatliche Anstalt für soziale Vorsorge, Nationalinstitut für soziale Fürsorge, INPS;
abbreviated forms;13;acronym + full form;L' Istituto nazionale della previdenza sociale (INPS) è articolato in strutture centrali, regionali e metropolitane con compiti di indirizzo, monitoraggio e coordinamento.;INPS;yes;NISF;Gesamtstaatliche Anstalt für soziale Vorsorge, Nationalinstitut für soziale Fürsorge, INPS;
abbreviated forms;13;acronym + full form;Presso l'Istituto nazionale della previdenza sociale (I.N.P.S.) è attivo uno speciale Fondo di Garanzia in favore dei lavoratori che non siano riusciti a farsi pagare dal datore di lavoro.;I.N.P.S.;yes;N.I.S.F.;Gesamtstaatliche Anstalt für soziale Vorsorge, Nationalinstitut für soziale Fürsorge, INPS;
abbreviated forms;13;acronym + full form;È previsto l'aggiornamento della numerazione dei contratti e degli accordi collettivi di lavoro depositati e archiviati, da svolgersi in cooperazione con l'Inps (Istituto nazionale della previdenza sociale).;Inps;yes;NISF;Gesamtstaatliche Anstalt für soziale Vorsorge, Nationalinstitut für soziale Fürsorge, INPS;
abbreviated forms;14;acronym;Il PRA è un registro pubblico istituito nel 1927.;PRA;yes;PRA;öffentliches Kraftfahrzeugregister, KFR;
abbreviated forms;14;acronym;Per effettuare un passaggio di proprietà, è necessario rivolgersi al PRA oppure presso un’agenzia di pratiche automobilistiche.;PRA;yes;PRA;öffentliches Kraftfahrzeugregister, KFR;
abbreviated forms;14;acronym;La radiazione può essere richiesta al PRA in via Garibaldi n. 21/a.;PRA;yes;PRA;öffentliches Kraftfahrzeugregister, KFR;
abbreviated forms;14;acronym;Il servizio consiste nella fornitura di dati estratti dal PRA e relativi ai veicoli in esso registrati.;PRA;yes;PRA;öffentliches Kraftfahrzeugregister, KFR;
abbreviated forms;14;acronym;Si informa che, l'Ufficio PRA di Modena è aperto al pubblico esclusivamente su appuntamento dal lunedì al venerdì.;PRA;yes;PRA;öffentliches Kraftfahrzeugregister, KFR;
abbreviated forms;14;acronym;Il P.R.A. è un registro pubblico istituito nel 1927.;P.R.A.;yes;PRA;öffentliches Kraftfahrzeugregister, KFR;
abbreviated forms;14;acronym;Per effettuare un passaggio di proprietà, è necessario rivolgersi al P.R.A. oppure presso un’agenzia di pratiche automobilistiche.;P.R.A.;yes;PRA;öffentliches Kraftfahrzeugregister, KFR;
abbreviated forms;14;acronym;La radiazione può essere richiesta al P.R.A. in via Garibaldi n. 21/a.;P.R.A.;yes;PRA;öffentliches Kraftfahrzeugregister, KFR;
abbreviated forms;14;acronym;Il servizio consiste nella fornitura di dati estratti dal P.R.A. e relativi ai veicoli in esso registrati.;P.R.A.;yes;PRA;öffentliches Kraftfahrzeugregister, KFR;
abbreviated forms;14;acronym;Si informa che, l'Ufficio P.R.A. di Modena è aperto al pubblico esclusivamente su appuntamento dal lunedì al venerdì.;P.R.A.;yes;PRA;öffentliches Kraftfahrzeugregister, KFR;
abbreviated forms;14;acronym + full form;Il Pubblico Registro Automobilistico (P.R.A.) è un registro pubblico istituito nel 1927.;P.R.A.;yes;PRA;öffentliches Kraftfahrzeugregister, KFR;
abbreviated forms;14;acronym + full form;Per effettuare un passaggio di proprietà, è necessario rivolgersi al PRA (Pubblico Registro Automobilistico) oppure presso un’agenzia di pratiche automobilistiche.;PRA;yes;PRA;öffentliches Kraftfahrzeugregister, KFR;
abbreviated forms;14;acronym + full form;La radiazione può essere richiesta al PRA – Pubblico Registro automobilistico in via Garibaldi n. 21/a.;PRA;yes;PRA;öffentliches Kraftfahrzeugregister, KFR;
abbreviated forms;14;acronym + full form;Il servizio consiste nella fornitura di dati estratti dal Pubblico registro automobilistico (P.R.A.) e relativi ai veicoli in esso registrati.;P.R.A.;yes;PRA;öffentliches Kraftfahrzeugregister, KFR;
abbreviated forms;14;acronym + full form;Si informa che, l'Ufficio del P.R.A. (Pubblico registro automobilistico) di Modena è aperto al pubblico solo la mattina dal lunedì al venerdì.;P.R.A.;yes;PRA;öffentliches Kraftfahrzeugregister, KFR;
abbreviated forms;15;acronym;A fine anno occorre monitorare attentamente l'arrivo delle fatture di acquisto per determinare il momento in cui è possibile detrarre l'IVA a credito.;IVA;yes;MwSt.;Mehrwertsteuer;USt, Umsatzsteuer, MWST
abbreviated forms;15;acronym;Il prezzo del prodotto è sempre soggetto a IVA.;IVA;yes;MwSt.;Mehrwertsteuer;USt, Umsatzsteuer, MWST
abbreviated forms;15;acronym;Il prossimo 17 novembre scade il termine per effettuare il versamento dell’IVA relativa al terzo trimestre da parte dei soggetti che hanno applicato il regime forfettario della L. n. 398/1991.;IVA;yes;MwSt.;Mehrwertsteuer;USt, Umsatzsteuer, MWST
abbreviated forms;15;acronym;L’IVA va applicata in base alle disposizioni dello Stato di residenza del cliente.;IVA;yes;MwSt.;Mehrwertsteuer;USt, Umsatzsteuer, MWST
abbreviated forms;15;acronym;Il costo complessivo ai sensi dell’allegato preventivo e calcolo di spesa è di euro 5.280,00 esente IVA.;IVA;yes;MwSt.;Mehrwertsteuer;USt, Umsatzsteuer, MWST
abbreviated forms;15;acronym;A fine anno occorre monitorare attentamente l'arrivo delle fatture di acquisto per determinare il momento in cui è possibile detrarre l'Iva a credito.;Iva;yes;MwSt.;Mehrwertsteuer;USt, Umsatzsteuer, MWST
